a52dec 0.7.4-9
manjaro-alsa 2012.11-1
manjaro-artwork 1.0.8-4
manjaro-aur-support 0.6-3
manjaro-base-skel 20171029-3
manjaro-browser-settings 20180316-2
manjaro-documentation-en 20180113-1
manjaro-firmware 20160419-1
manjaro-gdm-check 20180419-1
manjaro-gnome-assets 20180424-1
manjaro-gnome-extension-settings-17.0 20180425-2
manjaro-gnome-maia-theme 20180323-1
manjaro-gnome-settings-17.0 20180425-2
manjaro-hello 0.5.11-2
manjaro-hotfixes 2015.12-3
manjaro-icons 20170701-1
manjaro-keyring 20171027-2
manjaro-printer 20170501-1
manjaro-pulse 2012.11-1
manjaro-release 17.1.10-1
manjaro-settings-manager 0.5.4-12
manjaro-settings-manager-notifier 0.5.4-12
manjaro-system 20180507-1
manjaro-wallpapers-17.0 1.3-1
mc 4.8.20-3
mdadm 4.0-1
memtest86+ 5.01-2
mesa 18.0.3-0
mesa-demos 8.4.0-1
mhwd 0.6.3-1
mhwd-amdgpu 1.2.1-1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-2
mhwd-db 0.6.3-1
mhwd-nvidia 1:396.24-1
mhwd-nvidia-304xx 1:304.137-1
mhwd-nvidia-340xx 340.106-1
mhwd-nvidia-390xx 390.48-1.1
mhwd-tui 0.4-1
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.28.3-1
mkinitcpio-openswap 0.1.0-2
mobile-broadband-provider-info 20170310-1
mod_dnssd 0.6-6
modemmanager 1.8rc2+1+g7e949283-1
moka-icon-theme 5.3.6-1
mousetweaks 3.12.0-2
mozilla-common 1.4-4
mpfr 4.0.1-1
mpg123 1.25.10-1
ms-office-online 18.04.4-1
mtdev 1.1.5-1
mutter 3.28.1-1
nano 2.9.6-1
nautilus 3.28.1-1.1
nautilus-admin 1.1.5-1
nautilus-empty-file 1.2-1
nautilus-sendto 3.8.6+13+gff9b88f-1
ncurses 6.1-3
neon 0.30.2-3
net-snmp 5.7.3-8
netctl 1.16-1
nettle 3.4-1
networkmanager 1.10.6-3
networkmanager-openconnect 1.2.4-3
networkmanager-openvpn 1.8.2-1
networkmanager-pptp 1.2.6-1
networkmanager-vpnc 1.2.4-3
nfs-utils 2.3.1-1
nfsidmap 2.3.1-1
nm-connection-editor 1.8.11dev+12+ga37483c1-1
noto-fonts 20180322-1
noto-fonts-compat 20151217-1
npth 1.5-1
nspr 4.19-1
nss 3.36.1-1
nss-mdns 0.10-6
ntfs-3g 2017.3.23-1
ntp 4.2.8.p11-1
numlockx 1.2-3
openal 1.18.2-1
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openexr 2.2.1-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.7p1-1
openssl 1.1.0.h-1
openssl-1.0 1.0.2.o-1
openvpn 2.4.6-1
opus 1.2.1-1
orc 0.4.28-1
os-prober 1.76-2
p11-kit 0.23.10-1
p7zip 16.02-4
pacman 5.0.2-2
pacman-mirrors 4.10.1-3
pacui 1.10.2-1
pam 1.3.0-2
pamac 6.3.1-1
pambase 20171006-1
pango 1.42.1-1
pangomm 2.40.1-2
papirus-icon-theme 20180501-1
papirus-maia-icon-theme 20180401-2
parted 3.2-6
pciutils 3.5.6-1
pcmciautils 018-7
pcre 8.42-1
pcre2 10.31-1
pcsclite 1.8.23-2
perl 5.26.2-1
perl-clone 0.39-4
perl-dbi 1.641-1
perl-xml-libxml 2.0132-1
perl-xml-namespacesupport 1.12-2
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-2
pinentry 1.1.0-2
pipewire 0.1.9-1
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
polkit 0.114-1.1
polkit-gnome 0.105-3
polkit-qt5 0.112.0+git20180107-1
poppler 0.64.0-1
poppler-glib 0.64.0-1
popt 1.16-9
powertop 2.9-1
ppp 2.4.7-4
pptpclient 1.10.0-1
procps-ng 3.3.14-1.1
protobuf 3.5.2-1
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pulseaudio-bluetooth 11.1-1
pulseaudio-ctl 1.66-1
pulseaudio-zeroconf 11.1-1
pygobject-devel 3.28.2-1
pyqt5-common 5.10.1-2
python 3.6.5-2
python-appdirs 1.4.3-1
python-beautifulsoup4 4.6.0-1
python-cairo 1.17.0-1
python-chardet 3.0.4-1
python-dbus 1.2.6-1
python-dbus-common 1.2.6-1
python-gobject 3.28.2-1
python-idna 2.6-1
python-jade-application-kit 1.3.4-1
python-nautilus 1.2.2-1
python-npyscreen 4.10.5-1
python-packaging 16.8-2
python-pycups 1.9.73-3
python-pycurl 7.43.0.1-1
python-pyparsing 2.2.0-1
python-pyqt5 5.10.1-2
python-requests 2.18.4-1
python-setuptools 1:39.1.0-1
python-sip 4.19.8-1
python-six 1.11.0-1
python-urllib3 1.22-1
python-xdg 0.25-4
python2 2.7.15-1
qpdf 8.0.2-1
qt5-base 5.10.1-8
qt5-styleplugins 5.0.0.20170311-5
qt5-svg 5.10.1-1
qt5-x11extras 5.10.1-1
qt5ct 0.35-1
raptor 2.0.15-8
rasqal 1:0.9.33-2
readline 7.0.003-1
redland 1:1.0.17-4
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rpcbind 0.2.4-4
rsync 3.1.3-1
